Date,4000,4200,4400,4600,4750,4800,4900,5000,5025,5050,5075,5100,5125,5200,5250,5300,5350,5375,5400,5410,5425,5440,5450,5475,5500,5505,5525,5530,5550,5570,5580,5600,5615,5650,5660,5665,5670,5675,5680,5685,5690,5695,5700,5705,5710,5715,5720,5725,5730,5735,5740,5745,5750,5755,5760,5765,5770,5775,5780,5785,5790,5795,5800,5805,5810,5815,5820,5825,5830,5835,5840,5845,5850,5855,5860,5865,5870,5875,5880,5885,5890,5895,5900,5905,5910,5915,5920,5925,5930,5935,5940,5945,5950,5955,5960,5965,5970,5975,5980,5985,5990,5995,6000,6005,6010,6015,6020,6025,6030,6035,6040,6045,6050,6055,6060,6065,6070,6075,6080,6085,6090,6095,6100,6105,6110,6115,6120,6125,6130,6140,6150,6160,6170,6175,6180,6200,6225,6250,6275,6300,6325,6350,6400,6450,6500,6600,6700,6800,7000,7200,7400,7600,7800
2025-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.55,151.3,131.43,146.9,139.3,130.1,126.15,105.8,,,,111.45,84.47,92.43,101.11,98.64,94.01,92.24,74.9,76.7,75.1,80.2,68.9,65.9,72.0,59.78,64.0,60.9,58.36,55.55,45.4,50.64,48.96,45.53,43.8,41.9,39.13,33.53,34.75,32.6,30.53,28.7,26.45,23.7,21.86,20.2,19.8,17.3,16.2,15.59,13.31,13.1,11.55,10.42,9.5,8.8,8.1,7.15,6.2,5.2,5.1,4.54,3.9,3.4,3.17,2.65,2.35,1.95,1.7,1.55,1.2,1.25,0.95,1.0,0.85,0.75,0.6,0.5,0.45,0.3,0.35,0.35,,0.25,,0.2,0.15,0.15,0.1,0.1,0.1,,0.1,,0.1,0.1,0.1,0.1,0.1,,,,,,0.05,,,,,,,
2024-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219.65,,,,,,,,,,,,,,,,,,,,138.8,,,129.97,,,,,,102.4,97.8,96.6,99.6,99.96,86.0,85.51,81.5,,81.08,78.03,70.98,,83.18,80.08,58.35,57.3,53.4,69.01,,,45.89,,,50.23,36.25,35.44,30.64,28.94,31.24,28.32,26.4,39.91,22.27,23.27,21.82,19.44,19.05,26.96,16.18,,15.78,20.46,12.08,18.55,10.45,9.3,15.83,,8.4,,5.51,,5.53,,3.91,3.8,3.7,2.67,2.75,2.3,,3.17,,1.17,0.85,0.6,0.45,0.3,,,,,0.25,,0.1,,0.05,,,,
2025-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.33,,,,,,,131.0,,,110.91,,,,,,,84.5,90.0,,102.3,81.07,66.57,88.8,64.55,62.1,57.69,57.08,54.43,50.46,49.7,46.37,43.67,46.5,41.4,38.0,36.55,35.3,31.25,32.2,27.2,25.95,23.62,22.2,21.8,19.33,17.84,16.3,19.08,15.2,13.8,11.75,10.53,10.04,9.91,8.37,8.49,6.94,6.7,5.76,5.3,4.46,4.44,4.16,3.74,2.87,2.95,2.53,2.1,2.15,1.71,1.45,1.3,1.17,1.05,0.9,0.85,0.75,0.65,0.6,0.57,,0.45,,0.35,0.34,0.3,0.25,0.25,0.24,,0.2,,0.15,0.3,0.25,0.2,,0.15,,0.15,,,0.1,,,,0.05,,,
2025-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.45,188.26,213.61,,,,,,,,,,,,,,,170.1,,,,,98.6,,90.0,,,82.5,88.22,,82.18,79.18,,68.0,62.62,58.7,56.2,64.7,74.5,46.47,57.57,51.0,40.73,45.83,43.66,53.0,53.5,39.83,33.85,48.9,,30.02,28.25,25.62,25.31,25.0,18.66,22.4,19.89,18.44,16.5,15.82,,12.51,11.05,11.7,,9.52,7.58,8.36,8.2,6.87,7.9,5.3,5.4,5.0,4.65,4.6,,3.4,,3.1,3.15,2.55,2.05,1.77,1.72,,1.32,,0.95,0.65,0.52,,0.25,,,0.2,,,,,,,,,,
2025-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293.8,,284.3,,,,,,,263.84,,,,,219.91,215.41,,230.1,,,191.29,,,194.88,,188.62,,150.6,159.45,180.26,146.29,142.24,,151.12,,,134.71,112.0,109.78,,114.74,102.56,,95.32,91.77,88.2,,79.3,76.35,66.02,63.07,62.7,65.03,57.6,59.4,46.93,49.8,49.4,42.95,42.62,42.82,39.0,34.85,32.88,27.35,25.5,27.75,22.9,23.35,22.97,19.02,20.05,18.4,15.06,13.83,12.5,12.35,12.2,,11.35,,7.9,8.43,7.68,5.38,4.6,3.8,,2.35,,1.63,1.0,0.75,0.5,0.4,,0.5,0.17,,0.19,0.15,,,0.1,,,,
2024-12-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240.74,,,,,223.95,,,,,194.3,,,,,,,,,,,,,,147.36,136.01,135.28,,129.57,,119.58,,123.47,,,,,,107.63,,89.93,,86.8,,,75.7,69.4,,,,58.7,,,,,,,,49.51,,41.3,,39.85,,42.2,35.0,35.41,,35.57,,26.65,,,,20.47,19.34,,16.46,13.9,14.36,,12.5,,11.21,9.0,4.02,,2.02,,,0.65,,,,0.2,,,,,,
2024-12-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246.1,,,,,,,,,,,,,,,182.62,,,,,,,,,,,,,,,123.22,,,,123.6,118.3,102.71,,110.0,,100.47,,102.6,,96.15,94.85,,,77.81,,73.3,,58.77,,52.2,63.57,61.46,,55.74,,50.55,,46.53,,37.18,35.98,35.8,,35.1,,32.69,,28.85,,21.79,19.93,,,17.55,15.35,,10.8,,8.17,5.65,3.35,,1.67,,1.0,0.7,,0.25,0.15,,,,,,,
2025-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.63,,,,162.71,187.08,179.37,,170.84,,,,,,,,115.73,,121.15,123.5,,120.1,,112.51,105.03,,,,93.8,93.02,69.55,,63.61,75.58,71.78,68.73,68.7,63.08,64.0,62.52,61.83,58.04,52.0,45.46,50.43,36.12,38.06,39.25,37.57,33.74,33.17,,28.66,26.85,24.66,26.1,17.85,20.25,18.38,18.8,15.8,14.6,14.74,15.06,11.7,,9.55,,8.85,,7.57,,5.2,6.35,5.94,4.68,3.5,2.35,,2.6,,1.03,0.9,0.4,0.55,0.35,,,0.15,,,,,,,,,,
2024-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.1,,,,,,,,,,,,,,,,,,,,146.01,,,,,,112.5,,,,103.17,,93.95,,91.1,85.29,107.17,,83.53,,73.52,,63.57,,60.54,,74.47,,56.9,,45.7,,29.23,,46.0,40.84,39.64,,35.85,,37.54,,,,22.97,,,21.48,19.05,14.59,,13.76,,8.86,6.21,5.56,,3.3,,1.62,0.85,,0.42,,0.2,,,,,,
2024-12-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.15,,,,,,106.5,,104.0,,,103.64,,,,,100.3,,88.35,,82.95,,,,148.4,,56.92,,,,,,47.4,,117.41,,,,,,,41.7,39.3,,47.0,,38.1,,49.0,,,62.16,57.78,,17.06,30.57,,39.5,,10.52,23.9,6.48,,4.9,,,,,0.65,0.44,0.24,,,,0.15,,
2024-12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.73,,125.79,111.1,,,,97.8,106.0,,,,99.5,92.0,84.69,81.0,83.63,67.5,,61.3,,,54.5,,,,50.49,,,39.63,53.58,,32.03,30.23,31.5,,32.47,40.21,23.11,26.0,,20.2,19.52,,16.16,,23.04,20.9,12.4,10.68,9.17,10.87,,7.18,,4.0,3.4,2.14,1.3,1.12,,0.7,0.5,,0.25,,0.15,,,,,,
2024-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.73,,,,207.83,,,,,,169.96,,,,,155.2,,,139.23,,,,,,,,,,109.0,,101.65,,,,,81.69,,,,,72.9,,,,,,,,,40.7,,,,30.5,22.65,,,,,,,,1.15,,,,,,,,
2024-12-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.1,,150.0,,,134.94,134.4,,127.95,,117.66,121.64,,,110.23,,93.3,,91.99,87.9,,81.95,77.93,,69.53,,65.9,,60.42,,54.31,49.5,48.3,,40.2,,39.76,,38.0,,27.77,28.99,,23.91,21.02,18.3,,14.5,,10.6,8.0,5.0,,2.69,,1.39,0.95,,0.6,0.4,0.4,,,,,,
2024-12-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.57,169.08,,,,,,,,,,,,116.15,,,,,,100.44,101.87,101.0,,,,,,,,,,,,53.0,,,,,36.61,,22.61,,13.3,,,4.15,,1.25,,,0.25,,,,,
2024-12-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.81,,,106.27,102.7,,,,88.84,79.8,,,79.0,,71.18,,,,56.78,55.98,56.4,,,,44.0,,,,34.04,32.08,26.6,26.57,22.5,20.6,,15.21,,11.79,8.2,5.41,,2.76,,1.75,1.16,,0.62,,0.4,,,,,,
2024-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.19,,,,,,86.82,,,,75.06,,,,,,,56.31,,,44.39,,,,,28.45,,17.02,,12.86,,,2.84,,0.87,,,,,,,,
